score_id,transaction_id,account_id,risk_score,score_reason,timestamp
1,4060,588,1.35,Whose computer continue expect leg.,2021-04-19 15:04:34
2,2439,501,6.75,Theory pretty authority.,2020-12-31 02:16:25
3,4170,562,2.92,Film ahead.,2020-01-28 05:01:32
4,344,504,2.64,Yourself think.,2024-02-29 19:43:32
5,3632,603,8.0,Move mean whatever.,2024-11-29 12:41:06
6,2351,446,2.28,Table as benefit people.,2022-03-14 04:19:11
7,2099,997,6.63,Around must.,2021-01-25 19:35:38
8,1245,897,4.51,Size itself.,2020-02-12 02:45:43
9,1462,667,1.82,Fact around PM heart.,2024-08-23 00:49:04
10,2255,752,9.61,Especially set song financial.,2024-04-15 13:09:27
11,3269,953,8.31,Customer product soon strategy born.,2022-03-23 02:04:11
12,2991,835,6.89,Five tell debate.,2023-04-17 04:21:45
13,4888,38,5.35,Money us claim out.,2020-02-19 10:57:42
14,2860,687,8.65,Every after.,2024-12-30 18:05:00
15,1730,952,8.89,President my.,2020-03-26 04:36:35
16,1988,97,3.47,Letter strategy may commercial.,2021-10-14 07:17:27
17,3319,185,4.38,Third firm.,2021-10-27 17:51:55
18,3510,449,1.89,Animal body.,2024-06-20 04:24:52
19,998,402,1.44,Compare just reach set.,2021-10-02 01:22:11
20,465,682,3.39,Hard kid voice.,2021-02-16 19:43:28
21,1077,329,5.46,Among strong sell.,2024-04-20 09:26:38
22,3567,250,3.77,Begin able ago station mission.,2020-02-19 18:09:33
23,1955,141,3.19,Together rock window feel candidate.,2022-10-30 14:28:42
24,3623,990,3.05,Force sing wrong capital kind.,2021-07-22 06:06:23
25,3961,295,7.0,Arrive serious either.,2021-05-27 07:24:15
26,1698,385,9.17,Word these five will.,2020-10-05 21:28:30
27,249,834,8.57,Choice be culture.,2022-03-14 22:57:18
28,3495,718,9.63,Day note play source.,2021-01-21 13:23:27
29,2508,85,4.69,Day trip once avoid blue.,2024-02-18 07:15:22
30,3382,748,4.2,Daughter over yes enjoy.,2023-05-24 05:59:15
31,2434,507,4.32,Model gas feel participant.,2023-03-11 03:08:43
32,3336,119,8.36,Difference continue.,2021-02-18 09:17:06
33,2610,601,1.65,Guess beat.,2022-05-18 00:11:49
34,918,238,2.08,Why parent set.,2022-06-02 05:13:12
35,1821,817,3.11,That phone clear.,2022-05-21 13:28:43
36,2182,545,1.44,Score even religious last four.,2021-10-31 22:26:35
37,1888,787,6.15,National contain summer music.,2020-05-14 00:15:40
38,3839,892,4.81,Owner long leg.,2024-05-12 12:31:34
39,4812,726,3.88,Smile effect impact.,2021-03-16 19:38:48
40,1474,704,4.9,Difficult process.,2024-05-18 17:09:33
41,106,887,8.45,Majority open stage.,2021-02-17 16:54:28
42,4588,760,2.14,Cell culture.,2020-09-04 09:19:20
43,4389,700,1.58,Describe yard those mouth themselves.,2024-07-08 07:53:34
44,2540,45,8.89,Shake total light.,2024-07-22 14:41:37
45,1797,564,5.02,Technology perform.,2020-02-20 00:17:32
46,2926,800,2.9,Yes national move.,2022-04-01 08:26:38
47,2266,542,4.64,Specific mention change happy place.,2022-08-11 09:00:58
48,2792,519,5.02,End born foot cultural toward.,2021-05-03 06:08:55
49,1574,187,9.63,Body vote.,2020-01-10 20:27:10
50,2556,876,5.02,Piece physical because share wait.,2024-05-04 13:17:31
51,795,277,5.7,Any admit out.,2023-02-19 05:58:30
52,4756,321,5.07,Small hotel fear drug.,2020-05-05 21:27:39
53,2129,569,5.06,Claim mother need occur value.,2023-10-04 07:28:30
54,1094,145,5.55,Large letter.,2023-08-28 02:18:14
55,3127,921,2.51,Everybody happy music position win.,2022-12-28 17:05:34
56,3032,288,2.16,Information stop I.,2023-05-04 04:30:31
57,2806,102,2.52,Other message our report.,2023-03-27 16:23:40
58,1279,996,3.36,Take tend clear sing.,2020-01-09 22:48:02
59,891,186,1.25,Somebody us.,2022-03-25 13:10:13
60,1033,933,9.98,Economy race weight similar wear.,2022-12-03 07:44:54
61,4020,195,1.78,Million impact road anyone purpose.,2021-05-28 23:59:11
62,277,996,4.2,Partner firm Mrs however close.,2021-08-10 12:24:24
63,909,517,5.74,Affect property happen marriage.,2022-07-07 05:52:38
64,2978,110,5.81,Prepare particularly score staff fact.,2024-01-29 10:01:59
65,4822,731,6.92,And fear Democrat enjoy.,2024-05-30 02:30:14
66,3637,599,1.21,Degree at free among.,2024-05-28 06:00:48
67,2180,862,6.54,Step election eat station.,2023-02-06 17:58:56
68,590,684,8.28,Military test when.,2024-09-06 12:42:51
69,3989,129,5.11,Measure sort.,2023-07-09 02:19:30
70,4684,886,6.46,Participant physical finally.,2020-06-27 23:31:37
71,2871,369,4.3,Car where window owner.,2022-02-23 09:39:03
72,167,926,8.2,Get describe general lay at.,2020-11-27 13:09:02
73,4665,689,3.39,Picture focus officer direction service.,2021-06-14 04:42:18
74,3014,295,1.98,High data as them.,2020-09-28 15:37:47
75,3180,146,9.91,Building capital know.,2021-09-09 10:27:01
76,3192,645,2.26,Lot card.,2022-05-10 15:39:30
77,2859,350,5.79,General event reveal position.,2023-03-12 15:19:55
78,1177,511,4.89,Benefit those small.,2022-07-06 21:50:58
79,4712,712,3.57,Else your.,2023-09-10 11:48:17
80,3623,993,5.46,By public while scene.,2021-01-22 13:02:57
81,551,544,4.52,Everybody attention body.,2023-08-26 19:07:23
82,4614,25,5.34,Never now just election.,2023-08-23 16:30:48
83,4041,765,9.1,Go risk least.,2024-06-06 05:51:50
84,4577,59,2.31,Like address build budget should.,2021-02-14 21:39:33
85,915,414,4.66,Training anyone piece not.,2021-05-21 21:56:38
86,1929,756,8.04,Blue chance official first.,2020-11-22 08:52:13
87,2335,475,7.48,Student rate hard.,2022-05-27 19:06:32
88,4558,537,9.03,Imagine someone religious myself.,2022-09-07 11:11:34
89,4912,926,7.41,Research least draw study ever.,2021-01-28 00:07:56
90,1568,941,5.23,Our stand.,2022-04-25 18:16:24
91,376,975,5.85,Blood despite most name quality.,2024-07-05 00:48:43
92,517,751,7.94,Create window.,2024-07-28 15:42:56
93,900,357,2.85,Color yet former.,2021-03-19 08:16:14
94,2592,922,4.02,Church them hotel adult cost.,2022-04-28 21:01:38
95,2254,622,5.87,Church religious respond bill.,2024-05-29 12:36:28
96,4803,204,8.85,Provide such will teach grow.,2022-11-07 09:21:14
97,4519,672,7.19,Suffer prevent general herself.,2022-06-19 06:02:14
98,276,963,1.41,Business anything unit.,2024-12-19 16:57:25
99,588,303,3.49,Hard tree blue specific.,2023-08-22 01:58:42
100,1667,135,5.46,Meet Republican last reach.,2023-03-06 23:50:46
101,4986,295,3.46,Painting key onto.,2024-11-11 18:42:39
102,4736,87,6.51,However wonder method do record.,2024-01-06 14:11:54
103,2852,320,5.23,His statement.,2021-10-17 01:23:01
104,2468,599,9.32,Clearly south simple Congress.,2020-01-27 13:23:06
105,2985,592,7.4,Tv movement science.,2024-08-19 07:44:06
106,2431,115,8.72,Southern rest relate system.,2021-09-01 00:05:10
107,3064,876,4.26,Increase forward push likely.,2022-04-10 15:41:40
108,1054,940,6.94,Character ball society others eye.,2024-05-17 07:10:46
109,320,784,3.02,Store defense weight church air.,2021-10-03 23:00:17
110,2707,859,6.31,Of next wait set program.,2024-06-03 08:00:46
111,269,102,2.84,Within together computer.,2024-01-08 19:29:58
112,2471,197,5.26,Require heavy.,2022-07-25 06:51:35
113,3789,524,3.4,Check laugh.,2020-02-18 15:04:39
114,3370,401,5.51,Because campaign simple.,2020-03-31 04:16:11
115,121,920,1.68,Save soon similar.,2020-11-08 17:02:02
116,3981,217,4.31,Senior very region black.,2020-03-23 04:48:50
117,2802,780,1.6,Product item front night.,2024-01-16 10:35:46
118,3959,206,7.89,Everybody hope bank include.,2021-03-04 16:20:17
119,1890,316,4.73,Interesting technology very improve wall.,2022-03-28 20:42:32
120,2451,73,3.7,Always process.,2024-11-03 09:28:54
121,29,145,2.75,Serve cultural.,2020-04-29 01:43:38
122,4613,319,6.24,Buy sign.,2020-02-06 16:15:01
123,1388,311,2.69,Other brother.,2020-01-22 01:45:28
124,1981,487,1.09,Health hour magazine catch.,2022-12-04 12:13:54
125,1833,699,1.85,Money him reflect.,2023-09-11 13:30:39
126,3353,46,9.33,List work recently common.,2020-01-14 20:25:56
127,2756,794,9.19,Painting task.,2023-06-30 04:52:16
128,135,475,9.71,Add notice message art.,2022-09-07 08:24:45
129,3370,172,1.59,Grow child feeling.,2024-02-08 09:40:57
130,768,694,4.54,Yet wall memory.,2024-06-06 11:00:03
131,4923,230,2.46,Behind at.,2021-01-09 19:37:58
132,2392,61,1.05,Agreement religious song election.,2020-03-03 17:00:36
133,1733,500,7.9,Sometimes herself nation.,2021-06-30 11:32:11
134,3494,12,9.66,Out southern set example study.,2020-03-20 00:08:46
135,2659,82,2.9,Son friend million member ready.,2022-01-12 17:30:20
136,3888,253,3.16,Defense music draw drive.,2023-04-06 09:33:35
137,3635,151,5.91,Provide draw.,2021-10-11 01:24:46
138,206,1000,3.09,Table six human write election.,2024-10-05 23:05:22
139,4042,117,6.82,Physical another figure.,2021-11-12 17:15:31
140,3618,901,8.01,Level keep.,2023-02-13 11:30:28
141,3413,347,4.51,Measure candidate where professor.,2021-12-01 02:09:44
142,1006,861,1.9,Mention behavior.,2020-09-10 05:05:00
143,3984,520,2.5,Personal travel hit about fund.,2024-01-15 20:05:38
144,288,525,5.65,Start deal road area.,2020-07-29 15:42:21
145,3375,193,9.69,After certain old.,2023-08-02 23:15:35
146,3834,663,7.48,Far wonder we.,2020-12-20 14:45:06
147,2591,851,1.06,Produce station impact religious color.,2022-10-21 13:37:33
148,4839,861,1.37,Than enough.,2022-10-31 01:24:27
149,971,355,5.63,World future beyond.,2020-12-11 08:05:26
150,1521,491,9.43,Easy home agent future.,2022-08-11 18:23:58
151,2671,341,6.62,Play name mouth road general.,2023-03-17 21:44:13
152,2483,868,2.98,Anyone care.,2024-08-01 02:33:00
153,1359,597,7.99,Memory action environment word.,2024-07-19 19:29:53
154,598,710,4.18,Happen act.,2022-08-28 10:37:44
155,876,794,9.13,Prevent bed property.,2021-10-20 08:41:56
156,459,98,4.07,Participant feeling per military.,2021-09-08 10:38:11
