transaction_id,account_id,category_id,amount,transaction_type,timestamp,location,description
1,785,4,4589.99,Transfer,2023-05-07 15:48:26,East Lisaland,Leave pass position.
2,424,6,3418.8,Deposit,2022-02-19 02:47:38,South Jacobbury,Under magazine compare order high within book.
3,227,4,2954.94,Withdrawal,2021-11-19 00:27:05,Port Alexander,Star language inside.
4,611,6,3452.57,Transfer,2024-03-13 07:11:01,North Joseph,Teacher push write leg top.
5,830,7,3007.66,Transfer,2022-05-21 00:51:54,North Randyborough,Foreign less every play career particular become.
6,69,1,635.1,Withdrawal,2020-01-27 23:34:06,Jaimefurt,She become no beautiful around.
7,163,2,1367.42,Deposit,2023-12-28 10:58:29,North Megan,Series work image near.
8,38,10,3301.56,Transfer,2021-05-17 19:18:28,Robertberg,Six thing soldier performance adult student share.
9,629,3,791.89,Transfer,2020-07-15 00:20:53,North Jonathonfort,Explain community including painting participant box.
10,655,4,3191.59,Transfer,2021-08-27 11:05:31,Wilkinsonview,Must reality begin fly agree network everything.
11,37,10,3285.8,Deposit,2020-07-31 01:33:42,North Jennifertown,Teach moment house.
12,309,1,4500.08,Deposit,2021-03-07 08:43:45,Chavezhaven,Enter wrong play prepare movement big security.
13,647,7,2673.59,Deposit,2024-12-31 19:15:21,Heathermouth,Feel especially out even example.
14,976,7,2930.02,Deposit,2022-08-11 11:30:42,Lake Deborah,Bed great friend research system type.
15,424,6,1518.06,Deposit,2022-09-10 08:50:02,East Peterchester,Key series be executive.
16,947,1,3858.43,Transfer,2023-06-19 23:57:14,East Justinland,Itself loss bill end man leader space.
17,752,6,3429.2,Withdrawal,2023-04-03 09:30:09,New Andrewport,List group develop boy manager stop.
18,965,1,3783.37,Deposit,2021-01-20 20:10:30,West Nicolemouth,Office upon model training but.
19,173,8,1131.12,Deposit,2022-11-09 09:10:40,North Amybury,Campaign system character interesting two open sea.
20,111,7,2111.25,Deposit,2021-07-07 23:06:24,Lake Misty,Son without scientist range talk tax green painting.
21,133,5,4553.83,Deposit,2024-05-02 22:34:47,South Rachel,Police exactly young walk make per.
22,536,9,1576.71,Deposit,2024-12-26 02:42:07,Castillohaven,A team ground.
23,269,2,2545.22,Deposit,2020-08-28 11:44:55,New Laura,Teacher mother hope.
24,406,6,3661.18,Transfer,2023-04-11 21:18:15,West Cynthiaburgh,Fill American individual majority try however.
25,356,10,755.81,Withdrawal,2020-01-02 10:39:26,Taraberg,Artist popular drop town every.
26,796,6,1313.39,Withdrawal,2021-06-19 04:29:44,Cummingsmouth,Affect watch model character.
27,533,10,2675.46,Deposit,2021-08-02 11:03:16,West Brian,Include return take down.
28,734,2,731.0,Withdrawal,2024-11-23 20:46:55,Scottfurt,About day senior claim.
29,643,5,3477.16,Transfer,2024-12-21 05:32:40,Bondborough,Third least your recognize source home really.
30,456,6,427.82,Withdrawal,2023-01-13 19:20:12,Michaelburgh,Thank affect still week.
31,513,8,801.41,Deposit,2023-10-02 14:18:20,North Diana,Investment after fast country story then down day.
32,586,7,2204.74,Deposit,2023-07-10 18:18:50,Mathewsstad,Him believe our phone another Democrat.
33,248,8,3293.41,Deposit,2021-09-18 00:42:11,Gomezmouth,Certainly TV wife.
34,437,4,4630.36,Withdrawal,2023-12-07 13:36:26,Rossmouth,Station beat this force fight brother.
35,556,7,2898.35,Deposit,2024-09-20 03:16:06,Jacobhaven,Water staff former.
